id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,decade,mood_index,emotion_index,party_index,chill_index,cluster,cluster_pca
09OHK9MIFyhK3pBRZXREVB,Night Step,45,137770,False,['TRA.Ys'],['7l0oCR3Q2QjwqaxnCkBctU'],2021-02-07,0.626,0.372,0,-15.146,True,0.0327,0.841,0.895,0.0798,0.415,144.994,4,2020,0.4697,4.8214,0.499,0.7558,7,2
5BNAzE37hmpyCx0hyrgDqJ,Your Sister Was Right,69,152073,True,['Wilbur'],['6gKzPziGLKXdUaEEIm86Mn'],2020-06-25,0.504,0.278,2,-16.502,True,0.0772,0.925,0.108,0.129,0.15,83.729,4,2020,0.28180000000000005,5.093999999999999,0.391,0.8438000000000001,7,0
0PS0fA7ykpoLylNHowj3bn,Memories,44,69843,False,['Relax Pill'],['4296QfyECj3K2yfDzSEIAL'],2021-03-05,0.6,0.16,10,-19.772,True,0.0364,0.983,0.931,0.111,0.548,91.424,3,2020,0.486,6.198799999999999,0.38,0.9258,7,6
7sSJFRw3JYxKLVkE5jZgsQ,Pelopa,42,125659,False,['Pepinkoll'],['3JbNhooD8SkhF2IXlY35T9'],2021-01-23,0.47,0.0426,1,-37.568,False,0.0314,0.913,0.946,0.119,0.14,117.017,4,2020,0.21952,11.339179999999999,0.2563,0.93076,7,6
3zDxhpgfkRal8h0Xuij6BG,Tecno,37,81255,False,['Perversax'],['0RoIsmt8RGRyAS5uG59msx'],2020-05-23,0.598,0.0864,0,-21.339,True,0.0543,0.944,0.426,0.11,0.524,129.988,4,2020,0.45868000000000003,6.637219999999999,0.3422,0.9318399999999999,7,6
40O3SaWTRh82GZIZriyW4D,Blue River,0,225000,False,['Chillout Sound Festival'],['50Lvm7u1C4kEf9cEJFBBcN'],2020-12-30,0.775,0.599,3,-17.455,True,0.0376,0.0373,0.914,0.202,0.209,112.004,4,2020,0.4568,5.4998,0.687,0.18278000000000003,7,4
7BYldvbNe0UhEbTmPwXRdR,Stylish Moods for New Years Resolutions,0,146471,False,['Piano Jazz Luxury'],['3V2HaifWTt5SbXNe2YvSxK'],2021-01-07,0.682,0.018,8,-21.443,True,0.427,0.988,0.909,0.115,0.141,133.335,5,2020,0.2787,6.4947,0.35000000000000003,0.9856,7,6
7tDHMhO0bJpbkXzMyMIE0b,Isla De Flores,58,159125,False,['Berlioz'],['6kndrupH2JaLYqh1wBKGar'],2020-02-28,0.498,0.108,0,-25.641,True,0.0721,0.992,0.965,0.103,0.0551,70.046,4,2020,0.19855,7.746739999999999,0.303,0.952,7,6
6NmBmSTML37hgItbd9k5z9,Swinging Wine Glass,1,185884,False,"['Instrumental Jazz Music Ambient', 'Restaurant Background Music Academy', 'Instrumental Jazz Música Ambiental']","['1EJY1WcqU1y3P5GKl1VqzE', '38Tg9bv2DGGtids0Vgr8A4', '6SriSkwb0O4iOFjdRVk26t']",2020-12-24,0.781,0.38,8,-12.86,True,0.0552,0.401,0.746,0.0551,0.703,123.832,4,2020,0.6617999999999999,4.2532,0.5805,0.48860000000000003,7,5
2eAevWFrrNiamOYzphm841,Peace and Joy,0,222396,False,['Asian Tradition Universe'],['2bM5hDOrE0M0MYjAVQotDl'],2021-01-04,0.693,0.648,9,-13.118,True,0.0292,0.799,0.962,0.398,0.364,122.628,4,2020,0.5195,4.2754,0.6705,0.6202,7,5
3Rv3bMq8OuxLyUhJnWHvSb,Trubkala,41,70611,False,"['Trubinor', 'Gery Popins']","['72drPmU37vqwm8fnaYANzN', '3JkBi7I2h9oXNP6oEBZuup']",2021-01-06,0.45,0.00389,6,-36.669,False,0.0633,0.995,0.929,0.0781,0.408,70.295,4,2020,0.33977799999999997,11.165066999999999,0.226945,0.995444,7,6
3JW3b3C5rUqHBsX5ltadnB,Calm Music for New Years Resolutions,2,113406,False,['Morning Chill Out Playlist'],['1xK1JQjjtTqQyMMqjtyxnM'],2021-01-02,0.587,0.0377,3,-19.885,True,0.211,0.986,0.934,0.138,0.128,73.63,4,2020,0.24763999999999997,6.02801,0.31234999999999996,0.97652,7,6
6N9MEcVNE6AdhOKQ7WeCcV,Violo,43,60418,False,['Vladis'],['0fK1IYdMGRN6XeLvNVVAlu'],2020-07-24,0.507,0.305,1,-27.604,True,0.419,0.89,0.167,0.119,0.885,180.423,4,2020,0.6556,8.726700000000001,0.406,0.812,7,3
196e9qNLCgFlIGcfG92uaA,Chicago Lounge,1,227894,False,"['Instrumental Jazz Music Ambient', 'Restaurant Background Music Academy', 'Instrumental Jazz Música Ambiental']","['1EJY1WcqU1y3P5GKl1VqzE', '38Tg9bv2DGGtids0Vgr8A4', '6SriSkwb0O4iOFjdRVk26t']",2020-12-24,0.761,0.214,9,-20.374,True,0.0384,0.871,0.938,0.156,0.664,139.796,4,2020,0.6031,6.441999999999999,0.4875,0.837,7,5
00pQyQ34dREyxz23mr7cuw,Traditional Dance,5,172750,False,"['Chinese Relaxation and Meditation', 'Asian Traditional Music']","['6ocGsPADbB9aqCFMYXLLjQ', '3c8YvfkS0P01LGTynw582C']",2021-01-16,0.857,0.34,2,-14.168,True,0.0427,0.67,0.0137,0.13,0.673,119.942,4,2020,0.6616,4.6216,0.5985,0.6659999999999999,7,5
1FtquJCg3PzDiUkszlAm5h,Anda Comigo,50,173999,False,['David Carreira'],['6tIIe4TjUAUBgebA9j53ch'],2020-12-04,0.367,0.446,7,-11.779,True,0.0876,0.644,0.0,0.117,0.433,80.108,4,2020,0.4158,3.8407,0.4065,0.6080000000000001,7,2
7rTqpSnUSS5kuBqlaucYPD,Laugh it Off,53,32026,False,['woon'],['70yWwTLV7A0R2rBZYLC9WC'],2020-12-30,0.415,0.186,8,-20.982,False,0.112,0.928,0.869,0.105,0.499,100.373,3,2020,0.4112,6.55,0.3005,0.8824000000000001,7,6
6vexgDtC2T4CK8xeAf4k6N,Gavotte,26,293867,False,"['Joseph Hellmesberger, Jr.', 'Andris Nelsons', 'Wiener Philharmoniker']","['7k9vGxixuXBoIo2AtRmCWG', '6fkV4LaygxybcMjo4cJLrI', '003f4bk13c6Q3gAUXv7dGJ']",2020-01-17,0.306,0.0832,9,-25.53,True,0.0396,0.966,0.802,0.1,0.257,140.997,4,2020,0.23693999999999998,7.78676,0.1946,0.94632,7,6
34P0h72r5IebPGGH76blf3,Plants,19,127000,False,"['Philanthrope', 'Ian Ewing', 'Sleepy Fish']","['13ACz7DIictCpSYGglNTHs', '6QrRSfwkZsixVIgDRhpToh', '1IJe80moz409PtxW4llPFw']",2020-12-20,0.662,0.324,11,-18.517,True,0.0645,0.312,0.864,0.108,0.0393,80.053,4,2020,0.28305,5.668019999999999,0.493,0.4576,7,6
3ZKU3EI5ETrtqaEzirOHtE,Giving Up On You,52,163308,False,['Milow'],['6mo0UbyIvIePdXNyLwQlk5'],2020-10-29,0.648,0.345,1,-12.009,True,0.0345,0.766,0.0,0.121,0.397,100.006,4,2020,0.46190000000000003,3.865,0.4965,0.7216,7,2
